1899,"Liverpool","Bury",2,0,1
1899,"Liverpool","Derby County",0,2,1
1899,"Liverpool","Everton",1,2,1
1899,"Liverpool","Glossop North End",5,2,1
1899,"Liverpool","Manchester City",5,2,1
1899,"Liverpool","Newcastle United",2,0,1
1899,"Liverpool","Nottingham Forest",1,0,1
1899,"Liverpool","Notts County",3,1,1
1899,"Liverpool","Preston North End",1,0,1
1899,"Liverpool","Sheffield United",2,2,1
1899,"Liverpool","Stoke City",0,0,1
1899,"Liverpool","Sunderland",0,2,1
1899,"Liverpool","West Bromwich Albion",2,0,1
1899,"Liverpool","Wolverhampton Wanderers",1,1,1
1899,"Manchester City","Aston Villa",0,2,1
1899,"Manchester City","Blackburn Rovers",1,1,1
1899,"Manchester City","Burnley",1,0,1
1899,"Manchester City","Bury",2,2,1
1899,"Manchester City","Derby County",4,0,1
1899,"Manchester City","Everton",1,2,1
1899,"Manchester City","Glossop North End",4,1,1
1899,"Manchester City","Liverpool",0,1,1
1899,"Manchester City","Newcastle United",1,0,1
1899,"Manchester City","Nottingham Forest",2,0,1
1899,"Manchester City","Notts County",5,1,1
1899,"Manchester City","Preston North End",3,1,1
1899,"Manchester City","Sheffield United",1,2,1
1899,"Manchester City","Stoke City",1,0,1
1899,"Manchester City","Sunderland",2,1,1
1899,"Manchester City","West Bromwich Albion",4,0,1
1899,"Manchester City","Wolverhampton Wanderers",1,1,1
1899,"Newcastle United","Aston Villa",3,2,1
1899,"Newcastle United","Blackburn Rovers",4,1,1
1899,"Newcastle United","Burnley",2,0,1
1899,"Newcastle United","Bury",2,1,1
1899,"Newcastle United","Derby County",2,0,1
1899,"Newcastle United","Everton",2,0,1
1899,"Newcastle United","Glossop North End",1,0,1
1899,"Newcastle United","Liverpool",1,1,1
1899,"Newcastle United","Manchester City",0,0,1
1899,"Newcastle United","Nottingham Forest",3,1,1
1899,"Newcastle United","Notts County",6,0,1
1899,"Newcastle United","Preston North End",0,0,1
1899,"Newcastle United","Sheffield United",0,0,1
1899,"Newcastle United","Stoke City",2,2,1
1899,"Newcastle United","Sunderland",2,4,1
1899,"Newcastle United","West Bromwich Albion",4,2,1
1899,"Newcastle United","Wolverhampton Wanderers",0,1,1
1899,"Nottingham Forest","Aston Villa",1,1,1
1899,"Nottingham Forest","Blackburn Rovers",3,2,1
1899,"Nottingham Forest","Burnley",4,0,1
1899,"Nottingham Forest","Bury",2,2,1
1899,"Nottingham Forest","Derby County",4,1,1
1899,"Nottingham Forest","Everton",4,2,1
1899,"Nottingham Forest","Glossop North End",5,0,1
1899,"Nottingham Forest","Liverpool",1,0,1
1899,"Nottingham Forest","Manchester City",2,0,1
1899,"Nottingham Forest","Newcastle United",1,0,1
1899,"Nottingham Forest","Notts County",0,3,1
1899,"Nottingham Forest","Preston North End",3,1,1
1899,"Nottingham Forest","Sheffield United",4,0,1
1899,"Nottingham Forest","Stoke City",1,0,1
1899,"Nottingham Forest","Sunderland",1,3,1
1899,"Nottingham Forest","West Bromwich Albion",6,1,1
1899,"Nottingham Forest","Wolverhampton Wanderers",0,0,1
1899,"Notts County","Aston Villa",1,4,1
1899,"Notts County","Blackburn Rovers",5,1,1
1899,"Notts County","Burnley",6,1,1
1899,"Notts County","Bury",2,2,1
1899,"Notts County","Derby County",0,0,1
1899,"Notts County","Everton",2,2,1
1899,"Notts County","Glossop North End",0,0,1
1899,"Notts County","Liverpool",2,1,1
1899,"Notts County","Manchester City",1,1,1
1899,"Notts County","Newcastle United",0,0,1
1899,"Notts County","Nottingham Forest",1,2,1
1899,"Notts County","Preston North End",3,0,1
1899,"Notts County","Sheffield United",1,2,1
1899,"Notts County","Stoke City",1,3,1
1899,"Notts County","Sunderland",3,1,1
1899,"Notts County","West Bromwich Albion",1,2,1
1899,"Notts County","Wolverhampton Wanderers",0,0,1
1899,"Preston North End","Aston Villa",0,5,1
1899,"Preston North End","Blackburn Rovers",2,0,1
1899,"Preston North End","Burnley",1,1,1
1899,"Preston North End","Bury",1,0,1
1899,"Preston North End","Derby County",0,0,1
1899,"Preston North End","Everton",1,1,1
1899,"Preston North End","Glossop North End",1,0,1
1899,"Preston North End","Liverpool",1,3,1
1899,"Preston North End","Manchester City",0,2,1
1899,"Preston North End","Newcastle United",4,1,1
1899,"Preston North End","Nottingham Forest",3,0,1
1899,"Preston North End","Notts County",4,3,1
1899,"Preston North End","Sheffield United",0,1,1
1899,"Preston North End","Stoke City",3,0,1
1899,"Preston North End","Sunderland",0,1,1
1899,"Preston North End","West Bromwich Albion",5,2,1
1899,"Preston North End","Wolverhampton Wanderers",2,0,1
1899,"Sheffield United","Aston Villa",2,1,1
1899,"Sheffield United","Blackburn Rovers",3,0,1
1899,"Sheffield United","Burnley",0,0,1
1899,"Sheffield United","Bury",4,0,1
1899,"Sheffield United","Derby County",1,1,1
1899,"Sheffield United","Everton",5,0,1
1899,"Sheffield United","Glossop North End",4,0,1
1899,"Sheffield United","Liverpool",1,2,1
1899,"Sheffield United","Manchester City",3,0,1
1899,"Sheffield United","Newcastle United",3,1,1
1899,"Sheffield United","Nottingham Forest",3,0,1
1899,"Sheffield United","Notts County",1,1,1
1899,"Sheffield United","Preston North End",1,0,1
1899,"Sheffield United","Stoke City",1,0,1
1899,"Sheffield United","Sunderland",2,2,1
1899,"Sheffield United","West Bromwich Albion",1,1,1
1899,"Sheffield United","Wolverhampton Wanderers",5,2,1
1899,"Stoke City","Aston Villa",0,2,1
1899,"Stoke City","Blackburn Rovers",2,0,1
1899,"Stoke City","Burnley",3,0,1
1899,"Stoke City","Bury",2,0,1
1899,"Stoke City","Derby County",1,1,1
1899,"Stoke City","Everton",1,1,1
1899,"Stoke City","Glossop North End",1,0,1
1899,"Stoke City","Liverpool",3,2,1
1899,"Stoke City","Manchester City",1,0,1
1899,"Stoke City","Newcastle United",2,2,1
1899,"Stoke City","Nottingham Forest",0,0,1
1899,"Stoke City","Notts County",1,0,1
1899,"Stoke City","Preston North End",3,1,1
1899,"Stoke City","Sheffield United",1,1,1
1899,"Stoke City","Sunderland",1,2,1
1899,"Stoke City","West Bromwich Albion",1,0,1
1899,"Stoke City","Wolverhampton Wanderers",1,3,1
1899,"Sunderland","Aston Villa",0,1,1
1899,"Sunderland","Blackburn Rovers",1,0,1
1899,"Sunderland","Burnley",2,1,1
1899,"Sunderland","Bury",1,0,1
1899,"Sunderland","Derby County",2,0,1
1899,"Sunderland","Everton",1,0,1
1899,"Sunderland","Glossop North End",0,0,1
1899,"Sunderland","Liverpool",1,0,1
1899,"Sunderland","Manchester City",3,1,1
1899,"Sunderland","Newcastle United",1,2,1
1899,"Sunderland","Nottingham Forest",1,0,1
1899,"Sunderland","Notts County",5,0,1
1899,"Sunderland","Preston North End",1,0,1
1899,"Sunderland","Sheffield United",1,1,1
1899,"Sunderland","Stoke City",3,0,1
1899,"Sunderland","West Bromwich Albion",3,1,1
1899,"Sunderland","Wolverhampton Wanderers",1,2,1
1899,"West Bromwich Albion","Aston Villa",0,2,1
1899,"West Bromwich Albion","Blackburn Rovers",1,0,1
1899,"West Bromwich Albion","Burnley",2,0,1
1899,"West Bromwich Albion","Bury",0,1,1
1899,"West Bromwich Albion","Derby County",0,0,1
1899,"West Bromwich Albion","Everton",0,0,1
1899,"West Bromwich Albion","Glossop North End",3,3,1
1899,"West Bromwich Albion","Liverpool",2,0,1
1899,"West Bromwich Albion","Manchester City",0,0,1
1899,"West Bromwich Albion","Newcastle United",1,1,1
1899,"West Bromwich Albion","Nottingham Forest",8,0,1
1899,"West Bromwich Albion","Notts County",0,0,1
1899,"West Bromwich Albion","Preston North End",1,0,1
1899,"West Bromwich Albion","Sheffield United",1,2,1
1899,"West Bromwich Albion","Stoke City",4,0,1
1899,"West Bromwich Albion","Sunderland",1,0,1
1899,"West Bromwich Albion","Wolverhampton Wanderers",3,2,1
1899,"Wolverhampton Wanderers","Aston Villa",0,1,1
1899,"Wolverhampton Wanderers","Blackburn Rovers",4,0,1
1899,"Wolverhampton Wanderers","Burnley",3,0,1
1899,"Wolverhampton Wanderers","Bury",1,0,1
