4,5,0,2
10,12,0,0
2,16,2,0
15,9,0,1
18,8,0,1
3,11,2,0
14,13,1,2
6,17,3,2
1,7,2,0
5,10,2,1
16,1,0,2
11,4,2,1
12,6,1,1
13,2,0,2
9,3,0,0
17,14,2,2
7,18,1,1
8,15,0,1
6,14,2,0
10,11,3,1
2,17,1,0
12,5,0,2
15,7,1,0
4,9,1,0
18,16,0,1
3,8,1,0
1,13,3,0
16,15,4,2
11,12,2,1
14,2,1,0
13,18,2,0
9,10,1,0
17,1,2,3
7,3,3,1
5,6,2,0
8,4,3,0
10,8,0,1
15,13,5,1
12,9,4,0
4,7,0,1
18,17,3,0
3,16,1,0
1,14,2,0
5,11,2,2
16,4,1,3
2,1,1,1
11,6,1,0
14,18,3,0
13,3,3,3
9,5,2,3
17,15,0,1
7,10,4,2
8,12,3,1
10,16,3,0
11,9,1,0
15,14,1,1
12,7,4,0
4,13,2,1
18,2,1,0
3,17,1,1
6,1,2,1
5,8,2,0
7,5,0,2
16,12,2,0
2,15,5,0
14,3,2,1
13,10,0,1
1,18,1,0
9,6,0,0
17,4,1,1
8,11,2,1
10,17,1,0
11,7,0,0
15,1,0,4
12,13,1,1
4,14,1,1
3,2,1,3
6,18,1,0
9,8,0,2
5,16,2,0
16,11,3,1
2,4,2,1
18,15,2,0
14,10,1,0
13,5,1,1
1,3,3,0
17,12,0,0
7,9,2,1
8,6,0,1
10,2,1,1
11,13,3,1
12,14,2,3
4,1,0,3
3,18,3,1
6,15,4,1
9,16,2,1
5,17,2,2
8,7,1,0
16,8,1,0
2,12,3,1
15,3,1,1
18,4,1,1
14,5,0,3
13,9,0,4
1,10,1,0
17,11,1,3
7,6,2,2
10,18,1,1
11,14,2,0
12,1,0,1
4,15,2,0
6,3,2,3
9,17,3,2
7,16,1,0
5,2,1,0
8,13,2,0
16,6,1,0
2,11,4,1
15,10,0,0
18,12,1,1
3,4,2,0
14,9,2,1
13,7,0,0
1,5,1,1
17,8,1,2
12,15,1,1
9,2,1,2
5,18,1,0
16,13,1,1
10,3,1,2
11,1,1,2
8,14,2,1
6,4,2,1
7,17,2,1
6,2,0,3
2,8,1,0
15,5,1,2
4,10,1,0
18,11,1,2
3,12,1,0
14,7,2,1
6,13,1,0
1,9,5,2
17,16,1,0
16,14,2,2
10,6,1,0
11,15,1,4
12,4,2,1
13,17,3,0
9,18,1,1
7,2,0,2
5,3,2,0
8,1,0,2
16,2,1,2
11,3,1,1
12,10,2,3
13,14,1,0
9,15,3,1
17,6,0,0
7,1,1,4
5,4,1,1
8,18,3,1
10,5,0,1
2,13,3,1
15,8,0,0
4,11,1,0
18,7,3,2
3,9,3,1
14,17,1,0
6,12,0,0
1,16,3,0
16,18,0,0
11,10,1,0
14,6,2,2
13,1,0,0
9,4,0,3
17,2,1,2
7,15,1,0
5,12,0,1
8,3,3,3
12,11,1,0
10,9,1,0
2,14,1,1
15,16,3,2
4,8,1,0
18,13,0,0
3,7,4,2
6,5,0,2
1,17,1,0
16,3,2,3
2,6,3,0
11,5,1,1
14,1,0,2
13,15,0,1
9,12,6,0
17,18,0,1
7,4,0,0
8,10,3,0
10,7,0,1
15,17,0,0
12,8,0,0
4,16,3,0
18,14,1,1
3,13,2,1
6,11,2,0
1,2,2,1
5,9,1,0
2,18,0,1
8,5,1,1
16,10,3,2
14,15,1,0
13,4,3,0
1,6,4,1
9,11,2,1
17,3,1,0
7,12,2,0
10,13,3,0
11,8,2,0
15,2,0,1
12,16,1,1
4,17,2,0
3,14,3,0
6,9,2,2
5,7,3,1
18,1,0,1
16,5,0,1
2,3,1,3
18,6,3,2
14,4,5,0
13,12,0,1
1,15,2,0
17,10,0,0
7,11,1,2
8,9,1,3
10,14,0,0
11,16,1,0
15,18,2,1
12,17,0,0
4,2,4,1
3,1,0,1
6,8,1,0
9,7,0,0
5,13,4,0
16,9,1,2
2,10,2,1
15,6,1,1
18,3,2,2
14,12,1,0
13,11,1,1
1,4,2,0
17,5,1,1
7,8,0,0
10,1,0,2
11,17,0,0
12,2,0,0
4,18,2,0
3,15,1,0
6,7,1,1
9,13,0,2
5,14,4,0
8,16,2,0
16,7,2,0
15,4,1,2
18,10,1,1
3,6,0,0
14,11,1,1
13,8,1,1
1,12,0,0
17,9,1,2
10,15,3,1
11,2,1,3
12,18,1,1
4,3,3,0
6,16,3,2
9,14,2,2
7,13,2,0
5,1,0,1
8,17,1,0
2,9,3,0
15,12,1,0
4,6,4,0
18,5,1,2
3,10,3,0
14,8,1,0
13,16,1,0
1,11,4,2
17,7,0,0
16,17,1,1
10,4,1,0
11,18,1,1
12,3,1,1
13,6,2,2
9,1,1,2
7,14,2,0
5,15,1,0
8,2,1,3
2,7,1,1
15,11,3,1
4,12,2,0
18,9,0,0
3,5,2,2
14,16,3,1
6,10,3,0
1,8,4,0
17,13,4,1
2,5,2,0
