Setubal,Boavista,1,1
Academica,Sp Lisbon,0,2
Benfica,Maritimo,3,0
Leiria,Guimaraes,1,2
Santa Clara,Sp Braga,0,0
Moreirense,Beira Mar,1,2
Nacional,Gil Vicente,0,1
Pacos Ferreira,Varzim,3,1
Porto,Belenenses,2,2
Sp Braga,Pacos Ferreira,1,0
Beira Mar,Benfica,0,2
Belenenses,Academica,2,0
Guimaraes,Nacional,3,2
Gil Vicente,Setubal,0,1
Maritimo,Leiria,2,0
Sp Lisbon,Santa Clara,2,1
Varzim,Moreirense,1,0
Boavista,Porto,0,1
Academica,Boavista,0,1
Leiria,Beira Mar,1,0
Moreirense,Benfica,2,3
Pacos Ferreira,Sp Lisbon,4,0
Nacional,Maritimo,0,0
Porto,Gil Vicente,3,1
Santa Clara,Belenenses,3,1
Varzim,Sp Braga,2,0
Setubal,Guimaraes,1,2
Belenenses,Pacos Ferreira,1,0
Benfica,Leiria,3,1
Beira Mar,Nacional,0,2
Gil Vicente,Academica,1,1
Maritimo,Setubal,0,5
Sp Braga,Moreirense,2,1
Guimaraes,Porto,0,2
Sp Lisbon,Varzim,0,0
Boavista,Santa Clara,1,0
Nacional,Benfica,1,0
Porto,Maritimo,1,0
Moreirense,Leiria,2,1
Pacos Ferreira,Boavista,3,1
Santa Clara,Gil Vicente,4,2
Setubal,Beira Mar,1,1
Sp Braga,Sp Lisbon,4,2
Varzim,Belenenses,0,2
Academica,Guimaraes,2,2
Belenenses,Sp Braga,3,2
Benfica,Setubal,1,1
Leiria,Nacional,1,0
Gil Vicente,Pacos Ferreira,1,1
Guimaraes,Santa Clara,5,0
Maritimo,Academica,2,1
Beira Mar,Porto,1,1
Sp Lisbon,Moreirense,3,0
Boavista,Varzim,2,1
Sp Braga,Boavista,1,0
Academica,Beira Mar,1,1
Moreirense,Nacional,2,0
Porto,Benfica,2,1
Setubal,Leiria,0,0
Sp Lisbon,Belenenses,2,0
Varzim,Gil Vicente,3,0
Pacos Ferreira,Guimaraes,1,2
Belenenses,Moreirense,1,0
Benfica,Academica,1,1
Boavista,Sp Lisbon,1,2
Leiria,Porto,2,2
Beira Mar,Santa Clara,2,1
Guimaraes,Varzim,2,3
Maritimo,Pacos Ferreira,2,0
Nacional,Setubal,1,1
Gil Vicente,Sp Braga,3,0
Sp Braga,Guimaraes,2,4
Sp Lisbon,Gil Vicente,0,3
Academica,Leiria,3,2
Moreirense,Setubal,2,2
Pacos Ferreira,Beira Mar,1,0
Santa Clara,Benfica,1,2
Varzim,Maritimo,4,1
Belenenses,Boavista,0,0
Porto,Nacional,5,2
Guimaraes,Sp Lisbon,1,3
Boavista,Moreirense,0,0
Maritimo,Sp Braga,3,0
Setubal,Porto,0,1
Beira Mar,Varzim,2,1
Benfica,Pacos Ferreira,7,0
Leiria,Santa Clara,3,1
Nacional,Academica,3,2
Gil Vicente,Belenenses,3,1
Sp Lisbon,Maritimo,2,0
Varzim,Benfica,2,1
Academica,Setubal,1,1
Belenenses,Guimaraes,1,0
Pacos Ferreira,Leiria,1,0
Santa Clara,Nacional,2,3
Sp Braga,Beira Mar,0,0
Boavista,Gil Vicente,0,1
Moreirense,Porto,0,1
Beira Mar,Sp Lisbon,1,3
Benfica,Sp Braga,3,0
Gil Vicente,Moreirense,2,1
Setubal,Santa Clara,0,0
Leiria,Varzim,3,1
Maritimo,Belenenses,2,1
Nacional,Pacos Ferreira,4,0
Guimaraes,Boavista,3,1
Porto,Academica,4,1
Benfica,Gil Vicente,3,1
Santa Clara,Maritimo,2,1
Belenenses,Beira Mar,3,2
Sp Lisbon,Benfica,0,2
Boavista,Maritimo,3,0
Moreirense,Academica,1,0
Pacos Ferreira,Setubal,1,2
Santa Clara,Porto,1,3
Sp Braga,Leiria,1,1
Varzim,Nacional,1,0
Gil Vicente,Guimaraes,0,2
Setubal,Varzim,2,4
Academica,Santa Clara,3,2
Benfica,Belenenses,1,0
Guimaraes,Moreirense,1,1
Leiria,Sp Lisbon,3,2
Maritimo,Gil Vicente,3,1
Nacional,Sp Braga,0,0
Beira Mar,Boavista,3,3
Porto,Pacos Ferreira,2,1
Belenenses,Leiria,1,3
Boavista,Benfica,0,0
Gil Vicente,Beira Mar,3,1
Moreirense,Santa Clara,2,2
Pacos Ferreira,Academica,0,0
Sp Braga,Setubal,1,0
Sp Lisbon,Nacional,2,0
Varzim,Porto,0,2
Guimaraes,Maritimo,2,0
Beira Mar,Guimaraes,1,1
Leiria,Boavista,1,0
Setubal,Sp Lisbon,1,2
Academica,Varzim,2,1
Moreirense,Maritimo,2,2
Porto,Sp Braga,3,0
Santa Clara,Pacos Ferreira,0,0
Nacional,Belenenses,1,1
Sp Braga,Academica,1,1
Gil Vicente,Leiria,3,1
Guimaraes,Benfica,1,1
Sp Lisbon,Porto,0,1
Boavista,Nacional,0,0
Maritimo,Beira Mar,3,0
Pacos Ferreira,Moreirense,1,1
Varzim,Santa Clara,0,0
Belenenses,Setubal,0,0
Guimaraes,Leiria,1,2
Maritimo,Benfica,1,2
Beira Mar,Moreirense,1,2
Belenenses,Porto,1,3
Boavista,Setubal,1,0
Sp Braga,Santa Clara,1,1
Varzim,Pacos Ferreira,0,0
Gil Vicente,Nacional,2,0
Academica,Belenenses,2,1
Leiria,Maritimo,3,0
Porto,Boavista,1,0
Santa Clara,Sp Lisbon,0,1
Benfica,Beira Mar,1,0
Moreirense,Varzim,1,0
Nacional,Guimaraes,0,0
Pacos Ferreira,Sp Braga,0,1
Setubal,Gil Vicente,0,1
Boavista,Academica,4,1
Beira Mar,Leiria,2,2
Belenenses,Santa Clara,1,1
Gil Vicente,Porto,3,5
Maritimo,Nacional,2,3
Sp Braga,Varzim,1,0
Sp Lisbon,Pacos Ferreira,4,0
Benfica,Moreirense,1,1
Guimaraes,Setubal,1,0
Sp Lisbon,Academica,1,0
Santa Clara,Boavista,1,1
Leiria,Benfica,0,3
Varzim,Sp Lisbon,1,1
Academica,Gil Vicente,2,0
Moreirense,Sp Braga,2,2
Nacional,Beira Mar,1,0
Pacos Ferreira,Belenenses,3,2
Porto,Guimaraes,2,1
Setubal,Maritimo,1,0
Boavista,Pacos Ferreira,0,0
Maritimo,Porto,2,1
Beira Mar,Setubal,5,3
Belenenses,Varzim,4,1
Benfica,Nacional,2,0
Gil Vicente,Santa Clara,1,2
Leiria,Moreirense,2,2
Sp Lisbon,Sp Braga,2,0
Guimaraes,Academica,1,0
Sp Braga,Belenenses,1,1
Setubal,Benfica,2,6
Academica,Maritimo,2,0
Pacos Ferreira,Gil Vicente,2,0
Porto,Beira Mar,3,0
Santa Clara,Guimaraes,2,1
Varzim,Boavista,1,1
Moreirense,Sp Lisbon,1,2
Nacional,Leiria,2,2
Maritimo,Santa Clara,1,1
Belenenses,Sp Lisbon,1,1
Leiria,Setubal,1,1
Beira Mar,Academica,1,0
Gil Vicente,Varzim,2,1
Guimaraes,Pacos Ferreira,1,4
Nacional,Moreirense,1,1
Boavista,Sp Braga,2,1
