Olhanense,Estoril,2,1
Benfica,Sp Braga,2,2
Rio Ave,Maritimo,0,1
Gil Vicente,Porto,0,0
Guimaraes,Sp Lisbon,0,0
Nacional,Setubal,2,2
Pacos Ferreira,Moreirense,1,1
Beira Mar,Academica,3,3
Academica,Olhanense,1,1
Porto,Guimaraes,4,0
Sp Braga,Beira Mar,3,1
Estoril,Pacos Ferreira,1,1
Maritimo,Gil Vicente,0,0
Moreirense,Nacional,3,1
Setubal,Benfica,0,5
Sp Lisbon,Rio Ave,0,1
Guimaraes,Estoril,2,2
Olhanense,Porto,2,3
Beira Mar,Moreirense,1,1
Benfica,Nacional,3,0
Gil Vicente,Setubal,0,0
Pacos Ferreira,Sp Braga,2,0
Rio Ave,Academica,0,0
Maritimo,Sp Lisbon,1,1
Moreirense,Guimaraes,0,1
Porto,Beira Mar,4,0
Academica,Benfica,2,2
Nacional,Pacos Ferreira,3,3
Setubal,Olhanense,1,0
Sp Braga,Rio Ave,4,1
Estoril,Maritimo,3,1
Sp Lisbon,Gil Vicente,2,1
Guimaraes,Sp Braga,0,2
Pacos Ferreira,Benfica,1,2
Rio Ave,Porto,2,2
Sp Lisbon,Estoril,2,2
Beira Mar,Setubal,1,1
Gil Vicente,Moreirense,4,3
Maritimo,Academica,0,2
Olhanense,Nacional,1,2
Benfica,Beira Mar,2,1
Academica,Guimaraes,1,2
Estoril,Rio Ave,1,3
Nacional,Gil Vicente,0,1
Porto,Sp Lisbon,2,0
Setubal,Pacos Ferreira,0,0
Sp Braga,Olhanense,4,4
Moreirense,Maritimo,0,1
Guimaraes,Setubal,2,1
Beira Mar,Pacos Ferreira,0,2
Gil Vicente,Benfica,0,3
Olhanense,Moreirense,2,2
Estoril,Porto,1,2
Maritimo,Sp Braga,0,2
Rio Ave,Nacional,2,1
Sp Lisbon,Academica,0,0
Porto,Maritimo,5,0
Benfica,Guimaraes,3,0
Sp Braga,Gil Vicente,3,1
Academica,Estoril,0,2
Moreirense,Rio Ave,0,1
Nacional,Beira Mar,2,4
Pacos Ferreira,Olhanense,0,0
Setubal,Sp Lisbon,2,1
Gil Vicente,Pacos Ferreira,0,1
Guimaraes,Nacional,1,3
Estoril,Moreirense,2,0
Olhanense,Beira Mar,1,0
Porto,Academica,2,1
Rio Ave,Benfica,0,1
