Boavista,Beira Mar,3,0
Sp Braga,Leiria,0,0
Varzim,Benfica,2,2
Pacos Ferreira,Belenenses,3,1
Salgueiros,Farense,0,2
Sp Lisbon,Porto,1,0
Guimaraes,Gil Vicente,0,2
Maritimo,Setubal,3,1
Belenenses,Sp Lisbon,3,0
Gil Vicente,Sp Braga,2,1
Alverca,Pacos Ferreira,1,0
Beira Mar,Maritimo,2,0
Porto,Boavista,4,1
Benfica,Salgueiros,2,0
Leiria,Santa Clara,2,2
Setubal,Varzim,2,0
Farense,Guimaraes,0,1
Benfica,Setubal,3,2
Santa Clara,Gil Vicente,0,0
Sp Lisbon,Alverca,0,1
Boavista,Belenenses,2,0
Pacos Ferreira,Leiria,1,2
Sp Braga,Farense,4,0
Varzim,Beira Mar,1,1
Maritimo,Porto,1,3
Salgueiros,Guimaraes,1,3
Santa Clara,Alverca,2,1
Alverca,Boavista,1,2
Belenenses,Maritimo,0,1
Leiria,Sp Lisbon,1,1
Beira Mar,Benfica,3,3
Porto,Varzim,3,0
Gil Vicente,Pacos Ferreira,1,1
Farense,Santa Clara,1,0
Setubal,Salgueiros,3,0
Guimaraes,Sp Braga,2,1
Varzim,Belenenses,1,5
Boavista,Leiria,1,0
Benfica,Porto,0,0
Maritimo,Alverca,5,0
Pacos Ferreira,Farense,1,1
Salgueiros,Sp Braga,1,0
Santa Clara,Guimaraes,2,0
Sp Lisbon,Gil Vicente,3,1
Setubal,Beira Mar,4,1
Sp Braga,Santa Clara,6,0
Porto,Setubal,3,0
Gil Vicente,Boavista,0,3
Alverca,Varzim,4,2
Beira Mar,Salgueiros,1,1
Belenenses,Benfica,1,1
Farense,Sp Lisbon,1,3
Leiria,Maritimo,2,0
Guimaraes,Pacos Ferreira,1,1
Setubal,Belenenses,0,1
Beira Mar,Porto,2,0
Pacos Ferreira,Sp Braga,0,0
Boavista,Farense,1,1
Benfica,Alverca,3,2
Salgueiros,Santa Clara,2,1
Varzim,Leiria,2,0
Maritimo,Gil Vicente,2,1
Sp Lisbon,Guimaraes,5,0
Santa Clara,Boavista,0,2
Guimaraes,Boavista,2,0
Porto,Salgueiros,3,0
Santa Clara,Pacos Ferreira,1,1
Sp Braga,Sp Lisbon,2,1
Leiria,Benfica,1,1
Alverca,Setubal,1,1
Gil Vicente,Varzim,1,0
Farense,Maritimo,2,1
Belenenses,Beira Mar,1,5
Maritimo,Guimaraes,2,0
Boavista,Sp Braga,3,0
Porto,Belenenses,1,2
Benfica,Gil Vicente,2,0
Beira Mar,Alverca,6,2
Salgueiros,Pacos Ferreira,3,2
Varzim,Farense,2,0
Setubal,Leiria,1,1
Sp Lisbon,Santa Clara,0,0
Farense,Benfica,0,2
Pacos Ferreira,Sp Lisbon,0,6
Sp Braga,Maritimo,1,0
Guimaraes,Varzim,4,0
Alverca,Porto,0,1
Gil Vicente,Setubal,2,1
Leiria,Beira Mar,4,1
Belenenses,Salgueiros,1,0
Varzim,Sp Braga,0,0
Benfica,Guimaraes,0,0
Setubal,Farense,2,0
Beira Mar,Gil Vicente,2,2
Belenenses,Alverca,1,1
Porto,Leiria,2,1
Maritimo,Santa Clara,1,0
Salgueiros,Sp Lisbon,1,5
Boavista,Pacos Ferreira,5,0
Guimaraes,Setubal,0,0
Alverca,Salgueiros,1,2
Sp Braga,Benfica,0,1
Gil Vicente,Porto,2,5
Pacos Ferreira,Maritimo,2,1
Santa Clara,Varzim,1,0
Farense,Beira Mar,1,0
Leiria,Belenenses,3,0
